304;1;5735;Tue Apr 30 2019 12:30:57 GMT+0200 (Central European Summer Time);32h 10min;62.60;57.40
305;1;5735;Mon May 20 2019 02:01:24 GMT+0200 (Central European Summer Time);19h 46min;59.90;51.50
305;1;5735;Thu May 23 2019 11:39:53 GMT+0200 (Central European Summer Time);0h 9min;24.80;0
305;1;5735;Mon May 20 2019 22:07:33 GMT+0200 (Central European Summer Time);0h 3min;48.70;0
305;2;5735;Mon May 20 2019 01:56:22 GMT+0200 (Central European Summer Time);19h 51min;61.80;53.50
305;2;5735;Thu May 23 2019 11:34:48 GMT+0200 (Central European Summer Time);0h 14min;24.00;0
305;2;5735;Tue May 21 2019 21:44:12 GMT+0200 (Central European Summer Time);31h 51min;63.80;56.00
305;2;5735;Mon May 20 2019 22:07:33 GMT+0200 (Central European Summer Time);0h 3min;50.40;0
305;3;5735;Mon May 20 2019 22:19:30 GMT+0200 (Central European Summer Time);10h 52min;51.80;0
305;4;5735;Mon May 20 2019 01:46:14 GMT+0200 (Central European Summer Time);20h 1min;61.00;53.20
305;4;5735;Thu May 23 2019 11:24:33 GMT+0200 (Central European Summer Time);0h 25min;23.80;0
305;4;5735;Tue May 21 2019 21:34:04 GMT+0200 (Central European Summer Time);31h 51min;60.10;55.30
305;4;5735;Mon May 20 2019 22:19:30 GMT+0200 (Central European Summer Time);10h 53min;50.20;0
305;5;5734;Sat May 11 2019 06:37:37 GMT+0200 (Central European Summer Time);30h 14min;58.50;55.40
305;5;5735;Sat May 25 2019 00:20:59 GMT+0200 (Central European Summer Time);31h 48min;62.30;54.10
305;5;5735;Fri May 17 2019 08:49:04 GMT+0200 (Central European Summer Time);31h 45min;60.80;52.90
305;5;5735;Wed May 15 2019 21:46:24 GMT+0200 (Central European Summer Time);31h 49min;60.90;52.90
305;5;5735;Mon May 20 2019 22:19:30 GMT+0200 (Central European Summer Time);10h 52min;51.80;0
305;6;5734;Sat May 11 2019 06:32:30 GMT+0200 (Central European Summer Time);30h 21min;58.80;53.50
305;6;5735;Sat May 25 2019 00:15:50 GMT+0200 (Central European Summer Time);31h 52min;63.00;54.50
305;6;5735;Wed May 15 2019 21:41:19 GMT+0200 (Central European Summer Time);31h 49min;59.20;48.90
305;6;5735;Mon May 20 2019 22:19:30 GMT+0200 (Central European Summer Time);10h 54min;46.30;0
305;7;5735;Sat May 25 2019 00:10:45 GMT+0200 (Central European Summer Time);31h 48min;62.80;50.30
305;7;5735;Wed May 15 2019 21:36:09 GMT+0200 (Central European Summer Time);31h 43min;61.50;50.10
305;7;5735;Mon May 20 2019 22:19:30 GMT+0200 (Central European Summer Time);10h 52min;47.40;0
305;8;5735;Mon May 20 2019 22:19:30 GMT+0200 (Central European Summer Time);10h 52min;49.20;0
305;9;5734;Wed May 15 2019 21:26:03 GMT+0200 (Central European Summer Time);31h 45min;63.30;54.50
305;9;5735;Mon May 20 2019 01:20:42 GMT+0200 (Central European Summer Time);20h 27min;62.60;53.70
305;9;5735;Thu May 23 2019 10:59:04 GMT+0200 (Central European Summer Time);0h 8min;24.90;0
305;9;5735;Tue May 21 2019 21:08:36 GMT+0200 (Central European Summer Time);31h 49min;61.80;54.10
305;9;5735;Mon May 20 2019 22:19:30 GMT+0200 (Central European Summer Time);10h 52min;51.50;0
305;10;5735;Mon May 20 2019 01:15:37 GMT+0200 (Central European Summer Time);20h 32min;64.40;53.90
305;10;5735;Mon May 20 2019 22:07:39 GMT+0200 (Central European Summer Time);0h 3min;50.40;0
